University Rating,SOP,KS,MTH,ENG,Score,Pass,Keep_PGE,Offer, Postgraduate_Recommendation,Straight2Doctorate,LOR,Research,Paper,CET4,CET6,CGPA,TOEFL,IELTS,GRE,DV2CL,DV2SL
3,4,1,90,68,304,0,1,NULL,NULL,NULL,NULL,0,0,459,NULL,2.56,NULL,NULL,NULL,31,-11
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,456,563,3.36,NULL,NULL,NULL,NULL,NULL
3,5,1,77,65,287,0,1,NULL,NULL,NULL,NULL,1,0,424,NULL,2.7,NULL,NULL,NULL,14,2
3,5,1,56,61,266,0,0,NULL,NULL,NULL,NULL,0,0,456,NULL,3.2,NULL,NULL,NULL,3,-7
3,5,1,90,50,312,1,NULL,NULL,NULL,NULL,NULL,1,0,442,NULL,3.6,NULL,NULL,NULL,49,-8
3,5,1,106,76,369,1,NULL,NULL,NULL,NULL,NULL,1,0,474,474,1.8,NULL,NULL,NULL,96,-21
5,4,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,591,511,3.384,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,0,0,578,600,4,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,477,478,3,NULL,NULL,NULL,NULL,NULL
3,5,1,77,74,334,0,1,NULL,NULL,NULL,NULL,0,0,512,451,3.3,NULL,NULL,NULL,61,-50
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,474,431,3.3,NULL,NULL,NULL,NULL,NULL
5,5,1,146,76,416,1,NULL,NULL,NULL,NULL,NULL,1,1,620,576,3.4,NULL,NULL,NULL,143,17
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,470,440,3,55,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,1,544,NULL,3.36,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,65,292,0,1,NULL,NULL,NULL,NULL,1,0,475,NULL,NULL,NULL,NULL,NULL,2,-63
5,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,5,1,0,590,NULL,3.56,NULL,7,NULL,NULL,NULL
5,5,1,100,62,340,0,1,NULL,NULL,NULL,NULL,0,0,450,NULL,2.8,NULL,NULL,NULL,67,0
4,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,448,428,3.3,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,426,0,3.6,NULL,NULL,NULL,NULL,NULL
3,4,1,89,65,323,0,0,NULL,NULL,NULL,NULL,0,0,450,0,2.64,NULL,NULL,NULL,51,-32
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,481,471,3.69,NULL,NULL,NULL,NULL,NULL
3,4,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,1,517,434,NULL,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,594,NULL,3.32,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,580,520,3.44,NULL,NULL,NULL,NULL,NULL
5,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,418,NULL,3.6,NULL,NULL,NULL,NULL,NULL
3,4,1,126,87,392,1,NULL,NULL,NULL,NULL,NULL,1,0,566,577,3.4,NULL,NULL,NULL,32,2
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,0,534,505,3.04,NULL,6.5,NULL,NULL,NULL
5,5,1,140,70,390,1,NULL,NULL,NULL,NULL,NULL,1,1,470,440,3,55,NULL,NULL,80,40
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,436,NULL,3.6,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,421,NULL,3.2,NULL,NULL,NULL,NULL,NULL
5,4,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,0,610,NULL,3.9,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,1,1,535,525,3.32,NULL,6.5,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,520,516,3.52,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,1,611,548,3.4292,NULL,NULL,NULL,NULL,NULL
5,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,1,1,525,NULL,3.504,104,NULL,328,NULL,NULL
4,5,1,NULL,63,386,1,NULL,NULL,NULL,NULL,NULL,1,0,517,429,3.85,NULL,NULL,NULL,35,18
4,5,1,86,60,321,0,1,NULL,NULL,NULL,NULL,1,0,560,483,3.44,NULL,NULL,NULL,48,-20
3,5,1,125,70,360,1,NULL,NULL,NULL,NULL,NULL,1,0,447,500,3.8,NULL,NULL,NULL,87,14
3,5,1,89,65,277,1,NULL,NULL,NULL,NULL,NULL,0,0,436,447,NULL,NULL,NULL,NULL,4,-3
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,401,0,2.64,NULL,NULL,NULL,NULL,NULL
3,4,1,74,62,310,0,1,NULL,NULL,NULL,NULL,0,0,437,437,3.12,NULL,NULL,NULL,37,-14
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,472,462,3.68,NULL,NULL,NULL,NULL,NULL
3,3,1,110,85,388,1,NULL,NULL,NULL,NULL,NULL,1,0,479,NULL,3.28,NULL,NULL,NULL,113,113
3,5,1,110,70,360,1,NULL,NULL,NULL,NULL,NULL,0,0,431,NULL,3.28,NULL,NULL,NULL,87,30
4,5,1,63,69,312,0,1,NULL,NULL,NULL,NULL,0,0,500,520,NULL,NULL,NULL,NULL,34,-13
3,5,1,103,58,352,0,1,NULL,NULL,NULL,NULL,1,0,427,389,3.48,NULL,NULL,NULL,79,-11
3,4,1,90,50,330,0,1,NULL,NULL,NULL,NULL,1,0,425,NULL,3.4,NULL,NULL,NULL,57,4
3,5,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,0,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,4,1,68,65,304,1,NULL,NULL,NULL,NULL,NULL,0,0,497,430,3.4,NULL,NULL,NULL,31,-6
3,3,1,71,62,295,0,0,NULL,NULL,NULL,NULL,1,0,453,433,2.55,NULL,NULL,NULL,22,-55
5,5,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,0,0,450,425,3.4,86,NULL,NULL,NULL,NULL
3,5,1,92,60,352,1,NULL,NULL,NULL,NULL,NULL,1,0,431,360,NULL,NULL,NULL,NULL,79,2
3,5,1,80,53,318,0,1,NULL,NULL,NULL,NULL,0,0,433,0,NULL,NULL,NULL,NULL,45,34
3,3,1,66,62,306,0,1,NULL,NULL,NULL,NULL,1,0,477,502,NULL,NULL,NULL,NULL,36,16
3,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,479,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,439,382,3.72,NULL,NULL,NULL,NULL,NULL
3,5,1,77,59,278,0,0,NULL,NULL,NULL,NULL,1,1,493,428,2.688,NULL,NULL,NULL,5,-41
3,4,1,106,71,332,0,1,NULL,NULL,NULL,NULL,0,0,472,551,3.62,NULL,NULL,NULL,59,17
3,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,476,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,5,1,106,69,346,0,1,NULL,NULL,NULL,NULL,1,0,512,450,NULL,NULL,NULL,NULL,73,-14
3,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,474,447,3.5,NULL,NULL,NULL,NULL,NULL
3,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,475,NULL,4,NULL,NULL,NULL,NULL,NULL
3,5,1,NULL,69,368,1,NULL,NULL,NULL,NULL,NULL,1,1,494,450,NULL,96,NULL,NULL,28,13
