Serial No.	University Rating	SOP	WSD	WPR	WSA	WWORK	WPGE	Way	PGE	CL	Math_Included	English_Included	MTH	ENG	Score	SL	Pass	Keep_PGE	Offer	 Postgraduate_Recommendation	Straight2Doctorate	LOR	Research	Paper	CET4	CET6	CGPA	TOEFL	IELTS	GRE	DV2CL	DV2SL	1	直博
66	3	5	考研					考研	1	273	1	1	81	74	339	380	1	NULL	NULL	NULL	NULL	NULL	1	1	505	430	3.9	NULL	NULL	NULL	66	-41		
67	3	4	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	4	0	0	460	NULL	3.37	NULL	NULL	NULL	#VALUE!	#VALUE!		
68	3	5	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	509	484	3.4	NULL	NULL	NULL	#VALUE!	#VALUE!		
69	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	430	NULL	3.6	无	无	无	#VALUE!	#VALUE!		
70	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	449	NULL	3.336	NULL	NULL	NULL	#VALUE!	#VALUE!		
71	3	5	考研					考研	1	273	1	1	80	63	319	339	0	0	NULL	NULL	NULL	NULL	0	0	431	0	3.2	NULL	NULL	NULL	46	-20		
72	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	0	499	501	3.2	NULL	NULL	NULL	#VALUE!	#VALUE!		
73	5	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	3	1	1	654	642	3.255813953	NULL	7.5	322	#VALUE!	#VALUE!		
74	4	5	考研					考研	1	260	1	1	100	50	350	340	1	NULL	NULL	NULL	NULL	NULL	0	0	450	450	3.5	NULL	NULL	NULL	90	10		
75	3	3	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	3	0	0	500	NULL	3.5	NULL	6.0	NULL	#VALUE!	#VALUE!		
76	3	4	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	497	456	3.1	NULL	6.5	NULL	#VALUE!	#VALUE!		
77	3	4	考研					考研	1	273	1	1	90	68	304	315	0	1	NULL	NULL	NULL	NULL	0	0	459	NULL	2.56	NULL	NULL	NULL	31	-11		
78	3	1	工作					工作	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	456	563	3.36	NULL	NULL	NULL	#VALUE!	#VALUE!		
79	3	5	考研					考研	1	273	1	1	77	65	287	285	0	1	NULL	NULL	NULL	NULL	1	0	424	NULL	2.7	NULL	NULL	NULL	14	2		
80	3	5	考研					考研	1	263	1	1	56	61	266	273	0	0	NULL	NULL	NULL	NULL	0	0	456	NULL	3.2	NULL	NULL	NULL	3	-7		
81	3	5	考研					考研	1	263	1	1	90	50	312	320	1	NULL	NULL	NULL	NULL	NULL	1	0	442	NULL	3.6	NULL	NULL	NULL	49	-8		
82	3	5	考研					考研	1	273	1	1	106	76	369	390	1	NULL	NULL	NULL	NULL	NULL	1	0	474	474	1.8	NULL	NULL	NULL	96	-21		
83	5	4	保研					保研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	1	0	591	511	3.384	NULL	NULL	NULL	#VALUE!	#VALUE!		
84	3	5	出国留学					出国留学	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	3	0	0	578	600	4	NULL	NULL	NULL	#VALUE!	#VALUE!		
85	5	5	考研					考研	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	477	478	3	NULL	NULL	NULL	#VALUE!	#VALUE!		
